timestamp_ns,ax,ay,az,gx,gy,gz
4321000000000,0.0000,9.8100,0.1100,0.05000,0.00000,-0.01000
4321020000000,0.0001,9.8100,0.1100,0.05000,0.00014,-0.01000
4321040000000,0.0003,9.8100,0.1100,0.05000,0.00028,-0.01000
4321060000000,0.0004,9.8100,0.1100,0.04999,0.00042,-0.01000
4321080000000,0.0006,9.8100,0.1100,0.04998,0.00056,-0.01000
4321100000000,0.0007,9.8100,0.1099,0.04997,0.00070,-0.01000
4321120000000,0.0008,9.8100,0.1099,0.04996,0.00084,-0.01000
4321140000000,0.0010,9.8100,0.1099,0.04994,0.00098,-0.01000
4321160000000,0.0011,9.8100,0.1098,0.04992,0.00112,-0.01000
4321180000000,0.0013,9.8100,0.1098,0.04990,0.00126,-0.01000
4321200000000,0.0014,9.8100,0.1097,0.04988,0.00140,-0.01000
4321220000000,0.0015,9.8100,0.1097,0.04985,0.00153,-0.01000
